iter	Passed	Remaining
775	141803	40933
776	142012	40757
777	142210	40579
778	142413	40402
779	142593	40218
780	142866	40061
781	143053	39879
782	143238	39697
783	143393	39506
784	143572	39322
785	143749	39137
786	143924	38952
787	144103	38768
788	144270	38581
789	144444	38396
790	144627	38213
791	144841	38039
792	145013	37853
793	145178	37665
794	145339	37477
795	145494	37287
796	145646	37096
797	145807	36908
798	145973	36721
799	146111	36527
800	146271	36339
801	146433	36151
802	146596	35964
803	146759	35777
804	146913	35587
805	147065	35397
806	147227	35210
807	147453	35038
808	147635	34855
809	147813	34672
810	147984	34487
811	148141	34298
812	148306	34112
813	148463	33924
814	148624	33736
815	148779	33548
816	148926	33358
817	149103	33174
818	149260	32986
819	149425	32800
820	149579	32612
821	149731	32423
822	149890	32236
823	150061	32051
824	150212	31863
825	150371	31676
826	150542	31491
827	150714	31307
828	150873	31121
829	151032	30934
830	151176	30744
831	151340	30559
832	151503	30373
833	151722	30199
834	151896	30015
835	152073	29832
836	152244	29648
837	152418	29465
838	152584	29280
839	152765	29098
840	152950	28916
841	153115	28731
842	153280	28546
843	153468	28366
844	153639	28182
845	153813	27999
846	153972	27813
847	154120	27625
848	154292	27441
849	154476	27260
850	154651	27077
851	154826	26894
852	154981	26708
853	155154	26525
854	155317	26340
855	155462	26152
856	155633	25969
857	155853	25793
858	156057	25615
859	156341	25451
860	156539	25271
861	156710	25088
862	156882	24904
863	157050	24720
864	157203	24534
865	157375	24351
866	157540	24167
867	157707	23983
868	157903	23803
869	158094	23623
870	158285	23442
871	158479	23262
872	158670	23082
873	158873	22903
874	159048	22721
875	159218	22537
876	159390	22354
877	159547	22169
878	159707	21984
879	159877	21801
880	160044	21617
881	160225	21436
882	160400	21253
883	160647	21080
884	160827	20898
885	161003	20716
886	161202	20536
887	161355	20351
888	161526	20168
889	161704	19985
890	161871	19802
891	162048	19620
892	162225	19437
893	162415	19257
894	162586	19074
895	162773	18893
896	162963	18712
897	163192	18536
898	163391	18356
899	163561	18173
900	163710	17988
901	163874	17804
902	164032	17620
903	164189	17436
904	164353	17252
905	164508	17068
906	164667	16884
907	164873	16705
908	165052	16523
909	165221	16340
910	165387	16157
911	165545	15973
912	165697	15789
913	165858	15605
914	166039	15424
915	166204	15241
